Q,A1,A2,A3,A4,Anum
She ----- a carpet across the room.,figured,lifted,criticized,stretched,4
You will soon ----- French if you live in Paris.,mend,master,handle,count,2
Modern ----- is strongly influenced by science.,creature,civilization,heat,strength,2
The ----- stadium was built in 2019.,huge,dry,tough,loud,1
Dirty plates were ----- high in the sink.,refused,avoided,piled,punished,3
She ----- a piece of paper in half.,piled,folded,stretched,shut,2
I don't like ----- music very much.,huge,loud,figure,shut,2
The food aid program is ----- help the poor people.,supposed to,used to,ought to,had better,1
"-----, or you'll miss the train.",Watch out,Try on,Hurry up,Hold on,3
"Ann is upstairs.  ----- Tom, I have no idea where he is.",First of all,As for,At present,As a result,2
"I have a picture of him in my mind - tall, blond and -----.",helpful,handsome,fit,comfortable,2
The monkey hung from a tree by its -----.,fur,tail,brain,insect,2
The museum is ----- visiting.,fit,ideal,past,worth,4
Anyone can ----- this video camera easily.,organize,operate,reflect,extend,2
The ----- of the doctor's bill is $100.,quantity,lack,stretch,amount,4
Please ----- a little longer.  She is on another call now but will be with you soon.,fill in,watch out,try on,hold on,4
A ----- of snow blocked the door.,mass,lack,level,square,1
"The weather is bad today, and ----- that outfit won't do.",first of all,at present,little by little,as for,1
We discussed ----- warming in class.,general,global,regular,normal,2
Canada and Italy ----- diplomatic relations in 1970.,stared,counted,repaired,established,4
We walked ----- the bus stop.,elderly,latest,past,fur,3
We are supplied with only a small ----- of food.,quantity,circle,total,sheet,1
"""This tea is -----.""  ""Thank you.  We got it while we were in China.""",comfortable,handsome,polite,delightful,4
Drunk driving is against the -----.,proper,enemy,law,civilization,3
They have a very high ----- of English conversation ability.,row,amount,mass,level,4
The army prevented the ----- from entering the city.,civilization,nation,enemy,community,3
This bike ----- to me.,belongs,talks,turns,ready,1
There are airports in all the ----- cities.,stretch,loud,major,mass,3
Spain is one of the ----- in the EU.,policies,nations,communities,systems,2
This is the most ----- chair I've ever sat on.,polite,comfortable,worth,handsome,2
She ----- at the children to stop.,extended,screamed,heated,mastered,2
My old friend comes to see me -----.,from time to time,little by little,one after another,at present,1
Heat ----- water into steam.,stands,holds on,changes,hurries up,3
My colleagues left the company -----.,at present,more and more,one after another,first of all,3
Please ----- for my grandmother while I am away.,pass by,watch out,throw away,stand,2
Overheating is not just a problem for the ----- people.,proper,smart,brain,elderly,4
A large engine usually has more ----- than a small one.,system,helpful,solar,power,4
These plants grow well in a ----- climate.,lazy,ugly,dry,loud,3
My brother often talks to ----- when he's working at desk.,him,oneself,his,himself,4
Some parts of the city are rather -----.,ugly,lazy,pale,regular,1
The lawyer gave me some ----- advice.,helpful,elder,strength,worth,1
You look -----.  You should lie down and rest.,particular,pale,punish,pile,2
The ----- feeling among her friends is that she is a kind person.,general,dull,dirty,ugly,1
We would like to contribute to the ----- through volunteer activities.,community,excellent,enemy,strength,1
She could not ----- her own opinion.,delightful,policy,state,worth,3
Mobile phones play an important role in the ----- life.,modern,insect,latest,solar,1
He is an ----- teacher.,pleasant,smart,handsome,excellent,4
"The letters ""U.N."" ----- ""United Nations.""",fill in,hold on,try on,stand for,4
Failure changed his -----.,mind,mend,brain,tail,1
We ----- each other when the game was over.,tried on,shook hands with,hurried up,filled in,2
The teacher ----- each word slowly.,screamed,pronounced,handled,organized,2
I ----- to the police about the noise.,refused,scolded,complained,punished,3
The father ----- his son for getting poor marks in the exam.,avoided,folded,scolded,complained,3
We can divide the ----- cost among us and pay separately.,amount,mass,total,lack,3
I almost couldn't ----- my suitcase.,shut,scold,complain,stretch,1
You ----- make more time for yourself to relax.,going to,ought to,are used to,supposed to,2
----- holes and tears in clothes before you wash them.,Master,Count,Mend,Organize,3
"""Are you ----- order?""  ""Yes, I'd like a steak meal.""",ready to,willing to,likely,supposed to,1
A lot of ----- animals live on this island.,rare,rude,regular,total,1
The ----- residents are excited at the news.,rare,square,local,circle,3
I was ----- enough to quit the band.,complain,foolish,pale,local,2
The factory uses the very ----- technology.,scream,tail,latest,stare,3
He was ----- for drunk driving.,mended,shut,punished,handled,3
"-----, they stopped talking and looked at me.",As for,All of a sudden,At present,More and more,2
There is a ----- of beautiful houses along the street.,pile,total,row,quantity,3
I have no ----- reason to refuse his invitation.,particular,rare,local,global,1
My friend brought home a TV set that had been -----.,passed by,filled in,holded on,thrown away,4
Please show me the ----- way to make coffee.,proper,elderly,junior,handsome,1
Women ----- live longer than men.,stand for,change to,tend to,ready to,3
"If you ----- keep your promises, those around you will take your words less seriously.",stand for,fail to,fill in,tend to,2
The teacher drew a ----- on the blackboard.,circle,quantity,sheet,amount,1
You should exercise on a ----- basis.,regular,horrible,rare,rude,1
White walls ----- more light than dark walls.,extend,operate,reflect,mend,3
They were involved in an ----- accident and are still suffering from the damage.,horrible,dull,awful,foolish,3
We ----- a concert for our school festival.,operated,mastered,established,organized,4
Water turns into steam when it is -----.,fired,heated,solar,operated,2
I ----- getting on a train during rush hour.,dull,refuse,awful,avoid,2
How much will it cost to ----- the car?,organize,stare,operate,repair,4
He ----- at me in surprise.,pronounced,stared,extended,reflected,2
I don't have time to talk about this now.  Go away and ----- me alone.,leave,shut,press,fold,1
She turned ----- an offer to be introduced to a rich man.,into,on,down,out,3
A lot of taxis ----- while I was waiting for a bus.,watched out,failed,holded on,passed by,2
The story got ----- exciting.,more and more,one after another,as for,at present,1
The government ----- to give in to the demands of the terrorists.,amounted,avoided,refused,complained,3
I ----- the antenna on my radio to its full length.,fired,reflected,counted,extended,4
"It was dark, so I turned ----- the light.",on,out,around,into,1
My ----- brother looks nothing like me.,past,latest,elder,modern,3
I've never ----- of such a thing.  Is that true?,made,belonged,talked,heard,4
I can't write with this ----- pencil.,rude,dull,circle,pale,2
The recipe recommends that you use a ----- cake tin.,lack,mass,square,row,3
I've had no ----- to read recently.,figure,worth,leisure,brain,3
People who experience high stress are ----- get sick.,willing to,used to,supposed to,likely to,4
I picked up a ----- leaf from the ground.,tough,tiny,row,loud,2
The girl came home from the playground wearing a ----- shirt.,dirty,silly,foolish,rude,1
The government is planning to change the education -----.,system,police,proper,insect,1
The plants died for ----- of water.,pile,dull,horrible,lack,4
He ----- the brake pedal.,knocked,folded,pressed,stretched,3
You ----- call him and apologize before it is too late.,had better,ready to,are used to,used to,1
I need three ----- of paper.,rows,amounts,figures,sheets,4
"I ----- be afraid of dogs, but now I like them.",used to,am likely to,am used to,have to,1
Remember to turn ----- the air conditioner when you leave home.,around,into,out,off,4
Did you report the robbery to the -----?,law,police,state,policy,2
I spent a ----- weekend with a friend of mine.,past,helpful,pleasant,smart,3
Vitamin D helps to maintain ----- heartbeat.,rare,normal,local,particular,2
It is ----- of you to ignore the guests.,general,refused,rude,avoided,3
It is not ----- of you to make noise at the table.,delightful,helpful,proper,polite,4
He was ----- help me with the preparations.,willing to,had better,used to,ought to,1
I'm looking forward to hearing ----- you soon.,to,from,of,about,2
"Contrary to popular belief, gorillas are basically shy, gentle -----.",tails,insects,creatures,masters,3
Everything is going well -----.,first of all,all of a sudden,more and more,at present,4
Do you agree with the government ----- on education?,nations,excellent,policies,smart,3
Hurry up!  The boss will be here in ----- an hour.,more than,as many as,as much as,less than,4
I ----- work part-time on Sunday afternoon.,have to,supposed to,willing to,likely to,1
----- he became accepted by the family.,As for,One after another,Little by little,At present,3
We made ----- changes to the schedule.,pale,dull,minor,dirty,3
The amusement park is an ----- spot for dating.,worth,ideal,comfortable,fit,2
I've finally gotten ----- riding in overcrowded trains.,ready to,willing to,used to,likely to,3
We didn't even have the ----- to stand up.,fit,strength,law,pleasant,2
The teacher ----- the children as they got on the bus.,mastered,established,repaired,counted,4
----- this hat and see if it fits you.,Try on,Throw away,Tend to,Fill in,1
John is ----- to me by two years.,latest,modern,past,senior,4
Birds and ----- lay eggs.,creatures,tails,brains,insects,4
"That movie is a smash hit all over the world, and has been screened in ----- 100 countries.",less than,more and more,more than,as much as,3
His son is a very ----- boy.  He has the best grades in his class.,polite,worth,smart,handsome,3
He wrote ----- ten books.,all of a sudden,as many as,as much as,more and more,2
I can't ----- out how to get there.,level,circle,square,figure,4
Please ----- hello to your mother for me.,tell,talk,say,speak,3
She turned ----- and walked away without a word.,around,out,down,on,1
I can't ----- this box.  It's too heavy.,shut,lift,press,fold,2
What are you ----- to do this weekend?,going,used,have,ought,1
The journalist ----- the government policy severely.,complained,criticized,punished,piled,2
The man turned ----- to be our new coach.,on,out,around,off,2
This house is made ----- wood.,into,of,by,from,2
She is two years ----- to me at the office.,past,junior,tail,fur,2
A ----- broke out in the boiler room yesterday.,fire,handle,heat,power,1
Please ----- the application form.,fill in,shake hand with,pass by,tend to,1
My ----- brother never cleans his room.,general,lazy,rare,global,2
This sweater ----- me perfectly.,comfortable,worth,proper,fits,4
The movie has a lot of ----- scenes.  It is not good for small children.,horrible,global,normal,lazy,1
You have to be ----- to survive in life.,tough,horrible,awful,rude,1
"Before you go in, ----- on the door.",lift,knock,shut,fold,2
The situation is too complex for me to -----.,handle,solar,brain,power,1
Messages from the ----- are carried by the central nervous system.,brain,tail,fur,elderly,1
We can make wine ----- grapes.,of,from,by,into,2
These caterpillars will turn ----- butterflies.,out,into,around,on,2
"There was a big earthquake, and ----- many people lost their houses.",little by little,as for,from time to time,as a result,4
"That machine produces no carbon emissions, thanks to ----- heating and clever design.",power,operation,extend,solar,4
The ----- was soft to the touch.,stare,brain,fire,fur,4
She said to ----- that there was something wrong.,oneself,her,herself,hers,3
It was ----- of me to forget my passport.,silly,refused,scolded,ugly,1
