Q,A1,A2,A3,A4,Anum
Religion is a ----- issue.,sensitive,respect,original,honest,1
Good ----- is expected of students in school.,conduct,convince,gentle,attend,1
That blouse doesn't ----- your skirt.,quarrel,appreciate,match,race,3
We must ----- the environment from pollution.,survive,protest,exist,protect,4
She was ----- with her child's behavior.,allowed,caused,embarrassed,closed,3
I ----- your lending me this interesting book.,appreciate,allow,treat,match,1
She suddenly burst into ----- and ran out.,tears,embarrass,heaven,wind,1
I ----- if her story is true.,wonder,realx,react,accept,1
"Could you wait a -----, please?",latter,moment,further,former,2
Firefighters ----- people from the burning building.,rescued,maintained,escaped,survived,1
This is the most ----- restaurant in my town.,price,expensive,cost,value,2
Go straight ----- and you'll get to the main street.,previous,former,following,ahead,4
He ----- Susan for her hard work.,convinced,depended,praised,mixed,3
The ----- about the professor made everybody laugh.,jokes,origin,root,stupid,1
I've got ----- recently.,ahead,weigh,height,fat,4
The mother is very ----- with her baby.,birth,gentle,control,domestic,2
I like to ----- in a hot bath.,satisfy,relax,treat,appreciate,2
John ----- behind the door until everyone had gone.,preserved,protested,hid,maintained,3
"The word ""affluent"" is ----- to ""rich"" in meaning.",wondered,affected,minute,close,4
Destruction of ----- is a serious problem.,rescue,domestic,nature,fundamental,3
Some animals have good night -----.,vision,sensitive,sigh,nervous,1
We walked along the ----- and watched the sunset.,guard,coast,wave,ocean,2
I am willing to ----- your kind invitation.,confirm,allow,treat,accept,4
The group is giving financial ----- to the refugees.,aid,cost,guard,protest,1
Police have found a vital ----- to the case at last.,search,joke,clue,basic,3
"At the summit, a wooden sign gave the altitude as 3,192 ----- above sea level.",miles,kilometers,meters,indeed,3
It is ----- for us to talk over this matter.,cheer,searched,necessary,cost,3
I remember seeing her ----- in Rome.,anywhere,somewhere,wherever,center,2
London is one of the world's leading ----- of financial services.,companies,centers,bottoms,middles,2
I felt ill at the ----- of blood.,cause,moment,sight,weight,3
He ----- for his trip by packing his clothes.,reached,quit,prepared,searched,3
Exercise has become part of my ----- routine.,daily,mystery,conduct,universal,1
A lot of people ----- the party.,traded,attended,belonged,mixed,2
Do you know the  ----- meaning of this word?,original,cheap,raw,bare,1
"It ----- us 20,000 dollars to advertise in the newspaper.",attended,mixed,cost,traded,3
Some people say that Tahiti is ----- on earth.,moment,ahead,heaven,following,3
The two countries have ----- friendly relations.,rescued,existed,maintained,survived,3
He tried to think of a clever ----- for his English essay.,birth,sale,title,raw,3
Sit ----- you like.,exactly,nowhere,anywhere,nearly,3
The ----- owner of this house is still alive.,ahead,previous,further,treatment,2
Plants ----- nutrients from the soil.,trick,absorb,depend,belong,2
The school was ----- because of COVID-19.,close,closely,closed,closing,3
She was ----- about the examination.,hung,value,nervous,prepared,3
It was ----- of me to make such a mistake.,stupid,fundamental,usual,brave,1
He wrote a book about his jungle -----.,bare,adventures,envelope,birth,2
My sister gave ----- to twins last month.,original,origin,root,birth,4
That ----- book on the shelf is a dictionary.,thick,fat,height,weight,1
Decisions were made on the basis of incorrect -----.,envelopes,information,value,centers,2
This house was built in the ----- of the 20th century.,middle,somewhere,anywhere,center,1
He is proud of his father being a ----- police officer.,respect,honest,stupid,brave,4
"The ship weighs 5,000 -----.",dozen,cents,tons,meters,3
She ----- his voice on the phone.,treated,recognized,quarreled,allowed,2
They ----- for a cure for the disease.,searched,sighed,quit,reached,1
Mr. Carnegie ----- me a good job.,offered,praised,cheered,depended,1
She ----- her hand at me in welcome.,protected,waved,breathed,hid,2
The waves on the ----- are high today.,bottom,anywhere,ocean,cave,3
He'll be with us in a few -----.,indeed,meters,minutes,latter,3
One of the eggs ----- off the edge of the counter.,rolled,belonged,depended,dived,1
You should ----- smoking.,forgive,stupid,swallow,quit,4
None of them ----- the war.,survived,aided,existed,rescued,1
He brushed ----- off his clothes.,cave,coast,sand,wave,3
We must pick ----- for our research papers by next week.,companies,topics,prices,copies,2
I could never ----- her for what she had done.,trade,absorb,search,forgive,4
"After installing the program, just start your computer in the ----- way.",ordinary,aid,control,protect,1
"I suppose he's coming, but I'm not ----- sure.",close,minute,quite,nearly,3
He got ----- to my sister.,belonged,married,joke,absorbed,2
Are there any ----- restaurants around here?,price,cost,cheap,value,3
The nearest town is 30 ----- away.,minutes,tons,cents,kilometers,4
Cows and sheep eat -----.,cave,mud,sand,grass,4
"On hearing the news, she ----- with relief.",prepared,nervous,sighed,gentle,3
You turn this dial to ----- the central heating.,control,lead,universal,necessary,1
You will get ----- by complaining like that.,wherever,nowhere,whenever,however,2
A ----- is always at the entrance of this building.,aid,protest,rescue,guard,4
Don't be troubled with ----- differences.,thin,closely,close,minute,2
I'll call the hotel and ----- our reservations.,appreciate,confirm,accept,match,2
Everybody is aware that smoking ----- health.,affects,confirms,causes,reacts,1
I don't know what is in this can because it has no -----.,label,original,mystery,origin,1
Happiness is a topic of ----- interest.,offer,greet,praise,universal,4
This car can do 150 ----- per hour.,minutes,miles,nearly,tons,2
Our job is to ----- tropical rain forests.,protest,breathe,survive,preserve,4
I bought this shirt on -----.,sale,value,cheap,cost,1
The ----- is inhabited by bats.,sand,grass,cave,ocean,3
Oil ----- are certain to rise following the agreement to limit production.,necessary,prices,expensive,companies,2
He surprised us by saying that he was leaving the -----.,value,nature,company,newspaper,3
"He was sick in the evening, but the ----- day he was better.",further,following,central,ahead,2
The plane took off at ----- 9:00 a.m.,exactly,rather,exact,quite,1
She put the letter in an -----.,information,label,envelope,copy,3
