Q,A1,A2,A3,A4,Anum
They should be ---- their ethnic heritage.,known as,proud of,familiar to,known to,2
He didn't have a ---- piece of paper in class.,single,bit,couple,quarter,1
A cold breeze was ----.,blowing,bursting,burning,shining,1
"Not being ---- London, I didn't know where to go.",known to,based on,familiar with,filled with,3
Japan ---- foreign countries for oil.,depends on,looks after,cuts down,finds out,1
The hospital was ---- people suffering from influenza.,known as,fond of,pleased with,filled with,4
We put the accent on teamwork at this club rather than ---- skills.,background,fight,individual,attack,3
We cannnot ---- water in such a hot climate like this.,figure out,do without,find out,break into,2
Regular walking can reduce your risk of heart ----.,disease,blood,medicine,physical,1
He ---- his salary by learning English.,destroyed,perferred,hurt,doubled,4
Please decide whether the following statements are true or ----.,passion,correct,false,mistake,3
i've been assigned the job of ---- the new students.,looking up to,looking like,looking after,looking around,3
CanI have another ---- of cake?,passion,single,couple,bit,4
The violence in our cities is ---- from frustration and resentment.,decorated,recycled,compared,bred,4
I feel ---- when I don't see him.,favor,mental,lonely,physical,3
---- passengers were injured in the accident.,A number of,Full of,A little,Not a little,1
I weigh myself on a ---- every day.,scale,degree,favor,term,1
Only a part of iceberg shows above water; ---- it is under water.,full of,plenty of,a lot of,most of,4
She is seriously injured. Take her to the hospital ----.,right away,for the first time,after a while,by now,1
Your TOEIC ---- is 510. You're required to take another English test.,condition,influence,degree,score,4
The girl is ---- going out alone after dark.,known as,filled with,familiar with,afraid of,4
The suspect immediately ---- the policeman.,broke down,carried out,broke into,ran away from,4
Metropolitan Tokyo is administratively ---- into 23 wards.,preferred,divided,distinguished,chosen,2
In Alaska the sun sometimes ---- during the night.,shines,spreads,invents,completes,1
Police have ---- failed to recover the stolen jewelry.,at once,in time,so far,after a while,3
You will ---- to be a fine young man and take over daddy's business.,look up,cut down,woke up,grow up,4
He accidentally ---- how to gain access to their computer.,discovered,completed,designed,packed,1
You can eliminate ---- your stress simply by changing your perspective.,a lot of,full of,a few,a large number of,1
The students come from a variety of different ----.,passion,backgrounds,imagination,habits,2
We have English lessons ---- a week.,double,twice,quarter,single,2
Aspirin is a sure ---- for headaches.,cure,medical,physical,successful,1
Everybody ---- him as an honest man.,looked up to,woke up,broke into,was known to,1
The ability to speak ---- human beings from animals.,distinguishes,corrects,personal,compares,1
"The rooms on the lower floors are cheaper, but they don't have ---- bathrooms.",condition,hurt,background,private,4
He ---- a new word in a dictionary.,broke up,ran out of,carried out,looked up,4
I ---- the town to the country as a place to live.,hate,divide,prefer,compare,3
Lincoln was ---- while watching a play in Ford's Theater,shot,fought,destroying,responsible,1
She has an attractive ---- and is liked by all.,individual,personality,personal,private,2
I held my ---- and dived into the pool.,headache,breath,athlete,disease,2
He was ---- a good physician.,good at,known as,short of,lost,2
Set the clock at the ---- time because it is fast.,correct,false,personal,individual,1
"""is your sister at home?"" ""Yes, She'll be here ----.""",by now,at the same time,at the age,in a minute,4
Would you do me a ---- and watch the dog for an hour?,difference,condition,favor,term,3
Children often have very vivid ----.,breath,influence,imagination,lonely,3
Smoking affects the flow of ---- to the brain.,cure,blood,wound,breath,2
I have ---- beer. Drink some wine instead.,figured out,run out of,done without,run away from,2
"Two incidents, ---- in time and place, were linked by the police.",chosen,compared,separated,distinguished,3
The ---- of agreement expires on March 31.,term,score,favor,scale,1
A ---- of George Washington stands in the square.,piece,pair,exhibition,statue,4
He ---- a variety of dishes from the menu.,compared,separated,chose,distinguished,3
I've got ---- time to go there.,a few,plenty of,most of,a large number of,2
We cannnot tell you the ---- until we have looked at all the data.,medicine,responsible,results,imagination,3
She hired a detective to ---- where her husband was going after work.,depend on,carry out,find out,run out of,3
They ---- the hall for the festival.,packed,discovered,invented,decorated,4
"I ---- really early, but I couldn't get to sleep.",went to bed,woke up,looked up,grew up,1
The company's financial troubles have reached an acute ----.,stage,congratulations,exhibition,false,1
All men are ---- equal and independent.,printed,decorated,created,recycled,3
"The trains are too crowded in Tokyo."" ""You'll get used to that ----.""""",so far,for the first time,on time,after a while,4
We've had ---- rain this antumn.,full of,a large number of,quite a little,a few,3
"They ---- only 5,000 copies of the dictionary.",packed,invented,printed,divided,3
Don't talk with your month ---- food.,full of,plenty of,most of,a little,1
"If you ---- 5 to 8 , you get 13.",invent,create,breed,add,4
You can ---- this plan as you like.,cheer up,carry out,run out of,do your best,2
This exercise will improve both ---- and osychological health.,athletic,physical,mental,medical,2
They celebrated the ---- by giving an elaborate banquet.,item,statue,congratulation,event,4
"----, the missing cat came back.",By now,At the same time,So far,In the end,4
I'm ---- taking a nap in the afternoon every day.,based on,fond of,familiar to,proud of,2
She purchased several ---- for the kitchen.,events,items,museums,exhibition,2
"We ate several, but ---- were left.",quite a few,so far,in a minute,after a while,1
She has an annoying ---- of talking to herself while she's working.,passion,degree,attack,habit,4
We worked hard and ---- we succeeded.,so far,at last,by now,at first,2
Rival gangs started ---- each other.,fight,destruction,hurt,attacking,4
What ---- work I have to do today!,a great deal of,hundreds of,most of,a small number of,1
Christmas comes ---- days before New Year.,a few,hundreds of,plenty of,a little,1
"When the meeting ----, he left the room without saying a word.",broke up,cheered up,broke down,ran away,1
Fossil fuels are called nonrenewable resources because it takes ---- of years to replace them.,millions,quarters,couple,individuals,1
At that point. a ---- for justice rose up within him.,habit,passion,speed,independent,2
