Q,A1,A2,A3,A4,Anum
彼女は部屋いっぱいにカーペットを----た。,理解した,持ち上げた,批判した,広げた,4
パリに住めばすぐにフランス語を----だろう。,修繕する,習得する,扱う,数える,2
現代----は科学の影響を強く受けている。,生き物,文明,熱,力,2
その----スタジアムは2019年に建設された。,巨大な,乾燥した,タフな,うるさい,1
汚れた皿が流し台に高く----。,拒否された,避けられた,積み上げられた,罰せられた,3
彼女は紙を半分に----。,積み上げた,折った,広げた,閉めた,2
私は----音楽はあまり好きではない。,巨大な,うるさい,図,閉めた,2
食糧援助プログラムは貧しい人々を助ける----。,ことになっている,かつて～だった,すべきだ,したほうがよい,1
----、そうしないと電車に乗り遅れるよ。,気をつけて,試着して,急げ,待って,3
アンは2階にいる。トム----、彼がどこにいるのか全く分からない。,まず第一に,～に関しては,現在は,その結果,2
私の心の中に彼のイメージがある。背が高く、金髪で、----。,役立つ,ハンサムな,適した,快適な,2
その猿は----で木にぶら下がっていた。,毛皮,尻尾,脳,昆虫,2
その博物館は訪れる----。,適した,理想的な,過去,価値がある,4
誰でも簡単にこのビデオカメラを----できる。,組織する,操作する,反射する,伸ばす,2
医者の請求----は100ドルだ。,量,不足,広がり,額,4
もう少し----ください。彼女は今別の電話に出ていますが、すぐに代わります。,記入して,気をつけて,試着して,待って,4
雪の----がドアをふさいだ。,塊,不足,レベル,正方形,1
今日は天気が悪いし、----その服装ではだめだ。,まず第一に,現在は,少しずつ,～に関しては,1
私たちは授業で----温暖化について議論した。,一般的な,地球,定期的な,正常な,2
カナダとイタリアは1970年に外交関係を----。,じっと見た,数えた,修理した,樹立した,4
私たちはバス停を----歩いた。,年上の,最新の,通り過ぎて,毛皮,3
私たちは少----の食料しか供給されていない。,量,円,合計,枚,1
「このお茶は----ですね。」「ありがとう。中国にいた時に手に入れたんです。」,快適な,ハンサムな,礼儀正しい,美味しい,4
飲酒運転は----違反だ。,適切な,敵,法律,文明,3
彼らは英会話能力の非常に高い----を持っている。,列,額,塊,レベル,4
軍隊は----が市内に入るのを防いだ。,文明,国,敵,地域社会,3
この自転車は私----。,のものだ,話す,回る,準備ができている,1
すべての----都市には空港がある。,広がり,うるさい,主要な,塊,3
スペインはEU加盟----の一つだ。,政策,国,地域社会,制度,2
これは私が今まで座った中で最も----椅子だ。,礼儀正しい,快適な,価値がある,ハンサムな,2
彼女は子供たちにやめるように----。,伸ばした,叫んだ,加熱した,習得した,2
私の旧友は----私に会いに来る。,時々,少しずつ,次々と,現在は,1
熱は水を蒸気に----。,立つ,待つ,変える,急ぐ,3
同僚たちは----会社を辞めた。,現在は,ますます,次々と,まず第一に,3
私が留守の間、祖母を----ください。,通り過ぎる,気をつける（世話をする）,捨てる,立つ,2
熱中症は----人々だけの問題ではない。,適切な,賢い,脳,高齢の,4
大きなエンジンは通常、小さなエンジンよりも----がある。,システム,役立つ,太陽の,パワー,4
これらの植物は----気候でよく育つ。,怠惰な,醜い,乾燥した,うるさい,3
兄は机で仕事をしている時、よく----。,彼,自分自身,彼の,独り言を言う,4
その都市の一部はかなり----。,醜い,怠惰な,青白い,定期的な,1
弁護士は私にいくつかの----助言をくれた。,役立つ,年上の,力,価値がある,1
----よ。横になって休んだ方がいい。,特定の,顔色が悪い,罰する,積み上げる,2
彼女の友人たちの間の----認識は、彼女が親切な人だということだ。,一般的な,鈍い,汚い,醜い,1
私たちはボランティア活動を通じて----に貢献したい。,地域社会,優秀な,敵,力,1
彼女は自分の意見を----ことができなかった。,楽しい,政策,述べる,価値がある,3
携帯電話は----生活において重要な役割を果たしている。,現代の,昆虫,最新の,太陽の,1
彼は----教師だ。,楽しい,賢い,ハンサムな,優秀な,4
「U.N.」という文字は「国際連合」を----。,記入する,待つ,試着する,表す,4
失敗が彼の----を変えた。,考え,修繕する,脳,尻尾,1
試合が終わった時、私たちはお互いに----。,試着した,握手した,急いだ,記入した,2
先生は各単語をゆっくりと----。,叫んだ,発音した,扱った,組織した,2
私は騒音について警察に----。,拒否した,叱った,苦情を言った,罰した,3
父親は試験の点数が悪かったことで息子を----。,避けた,折った,叱った,苦情を言った,3
私たちは----費用を私たちで分けて別々に支払うことができる。,額,塊,合計の,不足,3
私はスーツケースをもう少しで----ことができなかった。,閉める,叱る,苦情を言う,伸ばす,1
あなたはリラックスするために自分の時間をもっと作る----。,するつもりだ,すべきだ,慣れている,ことになっている,2
洗濯する前に服の穴やほころびを----なさい。,習得しろ,数えろ,修繕しろ,組織しろ,3
「注文の----はできましたか？」「はい、ステーキ定食をお願いします。」,準備,喜んで～する,可能性が高い,ことになっている,1
この島には多くの----動物が住んでいる。,珍しい,失礼な,定期的な,合計の,1
----住民はそのニュースに興奮している。,珍しい,四角い,地元の,円,3
バンドを辞めるなんて私は----だった。,苦情を言う,愚かな,顔色が悪い,地元の,2
その工場はまさに----技術を使用している。,叫び,尻尾,最新の,じっと見る,3
彼は飲酒運転で----。,修繕された,閉められた,罰せられた,扱われた,3
----、彼らは話すのをやめて私を見た。,～に関しては,突然,現在は,ますます,2
通り沿いに美しい家々の----がある。,積み重ね,合計,並び,量,3
彼の招待を断る----理由は私にはない。,特定の,珍しい,地元の,地球の,1
私の友人は----テレビセットを家に持ち帰った。,通り過ぎた,記入した,待った,捨てられた,4
コーヒーの----淹れ方を教えてください。,適切な,高齢の,年下の,ハンサムな,1
女性は男性よりも長生きする----。,表す,変わる,傾向がある,準備ができている,3
もし約束を守るのを----と、周りの人はあなたの言葉をあまり真剣に受け取らなくなるだろう。,表す,怠る,記入する,傾向がある,2
先生は黒板に----を描いた。,円,量,枚,額,1
あなたは----に運動すべきだ。,定期的な,恐ろしい,珍しい,失礼な,1
白い壁は暗い壁よりも多くの光を----。,伸ばす,操作する,反射する,修繕する,3
彼らは----事故に巻き込まれ、今でもその被害に苦しんでいる。,恐ろしい,鈍い,ひどい,愚かな,3
私たちは学園祭のためにコンサートを----。,操作した,習得した,樹立した,企画した,4
水は----と蒸気になる。,発砲された,加熱された,太陽の,操作された,2
私はラッシュアワーに電車に乗るのを----。,鈍い,拒否する,恐ろしい,避ける,2
その車を----のにいくらかかりますか？,組織する,じっと見る,操作する,修理する,4
彼は驚いて私を----。,発音した,じっと見た,伸ばした,反射した,2
今はこれについて話す時間がない。あっちへ行って私を----くれ。,放っておいて,閉めて,押して,折って,1
彼女は金持ちの男性を紹介するという申し出を----。,～へ,～の上,断った,判明した,3
バスを待っている間に多くのタクシーが----。,気をつけた,失敗した,待った,通り過ぎた,2
その物語は----面白くなった。,ますます,次々と,～に関しては,現在は,1
政府はテロリストの要求に屈することを----。,達した,避けた,拒否した,苦情を言った,3
私はラジオのアンテナをいっぱいに----。,発砲した,反射した,数えた,伸ばした,4
暗かったので、私は明かりを----。,つけた,消した,回した,～へ,1
私の----は私と全く似ていない。,過去,最新の,兄,現代の,3
そんなことは----ことがない。本当ですか？,作った,所属した,話した,聞いた,4
この----鉛筆では書けない。,失礼な,丸くなった,円,青白い,2
そのレシピは----ケーキ型を使うことを勧めている。,不足,塊,四角い,列,3
最近は読書をする----がない。,図,価値,暇,脳,3
高いストレスを感じている人は病気になる----。,喜んで～する,かつて～だった,ことになっている,可能性が高い,4
私は地面から----葉を拾った。,タフな,ちっぽけな,列,うるさい,2
少女は----シャツを着て遊び場から帰ってきた。,汚れた,愚かな,愚かな,失礼な,1
政府は教育----を変えることを計画している。,制度,警察,適切な,昆虫,1
植物は水----のために枯れた。,積み重ね,鈍い,恐ろしい,不足,4
彼はブレーキペダルを----。,ノックした,折った,踏んだ,伸ばした,3
手遅れになる前に彼に電話して謝った----。,方がよい,準備ができている,慣れている,かつて～だった,1
紙が3----必要だ。,列,額,図,枚,4
「私は----犬が怖かったが、今は好きだ。」,かつて,可能性が高い,慣れている,しなければならない,1
家を出る時はエアコンを----のを忘れないで。,回す,～へ,消す,消す,4
強盗を----に通報しましたか？,法律,警察,州,政策,2
私は友人と----週末を過ごした。,過去,役立つ,楽しい,賢い,3
ビタミンDは----心拍を維持するのに役立つ。,珍しい,正常な,地元の,特定の,2
客を無視するなんてあなたは----だ。,一般的な,拒否された,失礼な,避けられた,3
食事中に音を立てるのは----ことではない。,楽しい,役立つ,適切な,礼儀正しい,4
彼は----準備を手伝ってくれた。,喜んで,したほうがよい,かつて,すべきだ,1
すぐにあなた----連絡が来るのを楽しみにしています。,～へ,～から,～の,～について,2
一般に信じられていることとは反対に、ゴリラは基本的には内気で優しい----だ。,尻尾,昆虫,生き物,主人,3
----すべて順調にいっている。,まず第一に,突然,ますます,現在は,4
あなたは政府の教育----に賛成ですか？,国,優秀な,政策,賢い,3
急げ！上司は1時間----でここに来るぞ。,以上,～もの,～もの,未満,4
私は日曜日の午後にアルバイトを----。,しなければならない,ことになっている,喜んで～する,可能性が高い,1
----彼は家族に受け入れられるようになった。,～に関しては,次々と,少しずつ,現在は,3
私たちはスケジュールに----変更を加えた。,青白い,鈍い,些細な,汚れた,3
その遊園地はデートに----場所だ。,価値がある,理想的な,快適な,適した,2
私はついに満員電車に乗ることに----。,準備ができている,喜んで～する,慣れた,可能性が高い,3
私たちには立ち上がる----さえなかった。,適した,体力,法律,楽しい,2
先生はバスに乗る子供たちを----。,習得した,樹立した,修理した,数えた,4
この帽子を----、合うかどうか見てみなさい。,試着して,捨てて,傾向があって,記入して,1
ジョンは私より2歳----だ。,最新の,現代の,過去,年上,4
鳥や----は卵を産む。,生き物,尻尾,脳,昆虫,4
「あの映画は世界中で大ヒットし、100カ国----で上映されている。」,未満,ますます,以上,～もの,3
彼の息子はとても----少年だ。彼はクラスで一番の成績をとっている。,礼儀正しい,価値がある,賢い,ハンサムな,3
彼は10冊----本を書いた。,突然,～もの,～もの,ますます,2
そこへの行き方が----ない。,レベル,円,正方形,わから,4
お母さんに私からよろしくと----おいてください。,伝えて,話して,言って,話して,3
彼女は----、一言も言わずに立ち去った。,振り向いて,消えて,断って,～の上,1
この箱を----ことができない。重すぎる。,閉める,持ち上げる,押す,折る,2
今週末は何を----ですか？,するつもり,かつて～だった,持っている,すべき,1
そのジャーナリストは政府の方針を厳しく----。,苦情を言った,批判した,罰した,積み上げた,2
その男は私たちの新しいコーチだと----。,～の上,判明した,振り向いた,消した,2
この家は木----作られている。,～の中へ,～で（材料）,～によって,～から（原料）,2
彼女は会社で私の2年----だ。,過去,後輩,尻尾,毛皮,2
昨日ボイラー室で----が発生した。,火事,取っ手,熱,力,1
申込用紙に----ください。,記入して,握手して,通り過ぎて,傾向があって,1
私の----弟は決して部屋を掃除しない。,一般的な,怠惰な,珍しい,地球の,2
このセーターは私に完璧に----。,快適な,価値がある,適切な,合う,4
その映画には----シーンがたくさんある。小さな子供には良くない。,恐ろしい,地球の,正常な,怠惰な,1
人生を生き抜くには----なければならない。,たくましく,恐ろしく,ひどく,失礼で,1
「入る前にドアを----なさい。」,持ち上げ,ノックし,閉め,折り,2
状況は複雑すぎて私には----できない。,対処,太陽,脳,力,1
----からのメッセージは中枢神経系によって運ばれる。,脳,尻尾,毛皮,高齢者,1
私たちはブドウ----ワインを作ることができる。,～の,～から（原料）,～によって,～の中へ,2
これらの毛虫は蝶----。,判明する,になる,振り向く,～の上,2
「大地震があり、----多くの人々が家を失った。」,少しずつ,～に関しては,時々,その結果,4
「その機械は、----熱と巧みな設計のおかげで、炭素排出を生まない。」,力,操作,拡張,太陽,4
その----は手触りが柔らかかった。,じっと見る,脳,火,毛皮,4
彼女はどこかおかしいと----に言った（思った）。,自分自身,彼女,自分自身,彼女のもの,3
パスポートを忘れるなんて私は----だった。,愚か,拒否された,叱られた,醜い,1
