Q_ja,A1_ja,A2_ja,A3_ja,A4_ja,Anum
彼らは自分たちの民族的遺産を----すべきだ。,として知られている,を誇りに思う,に馴染みがある,に知られている,2
彼は授業で----紙切れを一枚も持っていなかった。,たった1枚の,少しばかりの,2枚の,4分の1の,1
冷たいそよ風が----いた。,吹いていた,破裂していた,燃えていた,輝いていた,1
「ロンドンに----なかったので、どこへ行けばよいかわかりませんでした。」,に知られている,に基づいている,に詳しい,でいっぱいの,3
日本は石油を外国に----。,依存している,世話をしている,削減している,突き止めている,1
その病院はインフルエンザで苦しむ人々で----。,として知られていた,を好んでいた,に満足していた,でいっぱいだった,4
このクラブでは----技能よりもチームワークを重視している。,背景,戦い,個人の,攻撃,3
このように暑い気候では水を----ことはできない。,解明する,なしで済ます,見つけ出す,押し入る,2
定期的に歩くことで心臓----のリスクを減らせる。,病,血液,薬,体力,1
彼は英語を学ぶことで給料を----。,台無しにした,好んだ,傷つけた,2倍にした,4
次の記述が真か----か判断してください。,情熱,正しい,誤り,間違い,3
i've been assigned the job of ---- the new students.,尊敬する,のように見える,世話をする,見て回る,3
ケーキをもう----いただけますか。,情熱,1切れ,2切れ,ひとかけ,4
私たちの都市の暴力は欲求不満と恨みから----。,装飾されている,再利用されている,比較されている,生まれている,4
彼に会えないとき私は----と感じる。,好意,精神的だ,孤独だ,身体的だ,3
事故で----乗客が負傷した。,多くの,いっぱいの,少しの,少なからぬ,1
私は毎日----で体重を量る。,体重計,度,好意,期間,1
氷山の一部だけが水面上に姿を見せ、残りは----水面下にある。,でいっぱい,たくさんの,多くの,ほとんどの,4
彼女は重傷です。----病院に連れて行ってください。,すぐに,初めて,しばらくして,そろそろ,1
あなたのTOEIC----は510です。別の英語試験を受ける必要があります。,状態,影響,程度,得点,4
その少女は日が暮れてから一人で出かけるのを----。,として知られている,で満たされている,に慣れている,怖がっている,4
容疑者はすぐに警官から----。,崩れ落ちた,遂行した,押し入った,逃げ出した,4
東京都区部は行政上23区に----。,好まれている,分割されている,区別されている,選ばれている,2
アラスカでは夜でも太陽が----ことがある。,輝く,広がる,発明する,完了する,1
警察は----盗まれた宝石を取り戻すことに失敗している。,すぐに,間に合って,今のところ,しばらくしてから,3
あなたは----立派な青年になり、お父さんの仕事を継ぐことになるでしょう。,尊敬する,削減する,目を覚ました,成長する,4
彼は偶然彼らのコンピューターにアクセスする方法を----。,発見した,完成させた,設計した,詰めた,1
物の見方を変えるだけでストレスの----を取り除くことができる。,多くの,いっぱいの,少しの,多数の,1
その学生たちはさまざまな異なる----の出身だ。,情熱,背景,想像力,習慣,2
私たちは週に----英語の授業がある。,二重の,2回,4分の1回,1回の,2
アスピリンは頭痛に確実な----だ。,治療薬,医学的なもの,身体的なもの,成功,1
誰もが彼を正直な人だと----。,尊敬していた,起こした,侵入した,知られていた,1
話す能力が人間を動物から----。,区別する,訂正する,個人的な,比較する,1
「下の階の部屋は安いけれど、----バスルームが付いていません。」,状態の,傷ついた,背景の,専用の,4
彼は辞書で新しい単語を----。,解散した,使い果たした,実行した,調べた,4
私は住む場所として田舎より町を----。,嫌う,分ける,好む,比較する,3
リンカーンはフォード劇場で芝居を見ているときに----。,撃たれた,戦った,破壊していた,責任があった,1
彼女は魅力的な----を持ち、皆に好かれている。,個人,人格,個人的なもの,私的な,2
私は----を止めてプールに飛び込んだ。,頭痛,息,運動選手,病気,2
彼は優れた医師として----。,得意だった,知られていた,不足していた,失われた,2
その時計は進んでいるので、----時刻に合わせなさい。,正しい,誤った,個人的な,個々の,1
「あなたの妹さんは家にいますか」「ええ、----ここに来ます。」,もうそろそろ,同時に,その年齢で,すぐに,4
一時間犬を見ていてくれますか。私に----をしてもらえますか。,違い,条件,頼み,期間,3
子どもはとても鮮やかな----を持っていることが多い。,呼吸,影響,想像力,孤独,3
喫煙は脳への----の流れに影響する。,治療,血液,傷,呼吸,2
ビールを----しまったよ。その代わりワインを飲んで。,解決した,切らしてしまった,なしで済ませた,逃げた,2
「時間と場所が----二つの事件が警察によって関連付けられた。」,選ばれた,比較された,離れていた,区別された,3
その合意の----は3月31日に切れる。,期限,得点,好意,規模,1
広場にはジョージワシントンの----が立っている。,断片,一対,展示,像,4
彼はメニューからさまざまな料理を----。,比較した,分けた,選んだ,見分けた,3
そこへ行く時間は----ある。,少し,たっぷり,大半,多数,2
すべてのデータを見てからでないと----をお伝えできない。,薬,責任者,結果,想像力,3
彼女は夫が仕事の後どこに行っているのかを----ために探偵を雇った。,頼る,実行する,突き止める,使い果たす,3
彼らは祭りのためにホールを----。,詰め込んだ,発見した,発明した,飾り付けた,4
「私はとても早く----のに、眠れなかった。」,寝床に入った,目が覚めた,調べた,成長した,1
その会社の財政難は深刻な----に達した。,段階,祝辞,展示,偽り,1
すべての人は----平等で独立している。,印刷されて,装飾されて,創造されて,再利用されて,3
「東京の電車は混みすぎだね」「それには----慣れるよ。」,今のところ,初めて,時間どおり,そのうち,4
この秋は----雨が降った。,いっぱいの,多数の,かなり多くの,少しの,3
「彼らはその辞書を5,000部しか----。」,梱包した,発明した,印刷した,分割した,3
口に----食べ物を入れたまま話さないで。,いっぱいに詰めた,たくさんの,大部分の,少しの,1
「5に8を----と13になる。」,発明する,創り出す,繁殖させる,足す,4
この計画は好きなように----ことができる。,元気づける,実行する,使い果たす,全力を尽くす,2
この運動は----と心理的健康の両方を向上させる。,運動能力,身体の,精神の,医療の,2
彼らは盛大な宴会を開いてその----を祝った。,品目,像,祝辞,出来事,4
「----行方不明の猫が戻ってきた。」,今頃には,同時に,これまでのところ,結局,4
私は毎日午後に昼寝をするのが----。,に基づいている,好きだ,に馴染みがある,誇りに思っている,2
彼女は台所用にいくつかの----を購入した。,行事,品物,博物館,展示,2
「いくつか食べたけれど、----残っていた。」,かなり多く,これまでのところ,すぐに,しばらくして,1
彼女は仕事中に独り言を言うという厄介な----がある。,情熱,程度,発作,癖,4
私たちは懸命に働き、----成功した。,これまで,ついに,今頃までに,最初は,2
敵対するギャングが互いに----し始めた。,戦う,破壊,傷つける,攻撃する,4
今日はなんて----仕事をしなければならないんだ！,大量の,何百もの,大部分の,少数の,1
クリスマスは新年の----日前にやって来る。,数,何百もの,たくさんの,少しの,1
「会議が----と、彼は一言も言わずに部屋を出ていった。」,解散すると,元気づけると,故障すると,逃げると,1
化石燃料が非再生資源と呼ばれるのは、それを補充するのに----年かかるからだ。,何百万,4分の1,2,個人,1
その時、彼の内に正義への----が湧き上がった。,習慣,情熱,速度,独立,2
「何かお手伝いしましょうか」「はい、月6万円以下で二部屋のアパートを----。」,よく知っています,削減しています,探しています,書き留めています,3
私は狭い路地の迷路で----。,覆った,解決した,発生した,迷った,4
胃痛に効く----はありますか。,呼吸,病,薬,傷,3
彼女は赤ちゃんを毛布で----。,完成させた,加えた,包んだ,詰めた,3
その車は泥で完全に----いた。,比較されていた,区別されていた,覆われていた,選ばれていた,3
その----には素晴らしい陶器のコレクションがある。,品物,博物館,舞台,像,2
死んだ植物や動物の素材に含まれる栄養素を----のを助ける細菌もいる。,発見する,設計する,再生する,嫌う,3
その火事は商業地区を完全に----。,得点した,破壊した,傷つけた,経験した,2
彼は彼女と結婚するつもりだと友人たちに----。,親しくした,失った,喜ばせた,知らせた,4
「冷蔵庫が----と、彼は自分で修理した。」,なしで済むと,解決すると,故障すると,頼ると,3
2人の学者は----同じ理論を発表した。,最初に,今頃までに,時間どおりに,同時に,4
これはあなたと私の----問題だ。,期間,個人的な,規模,違い,2
その駅行きバスは1時間に----ごとに通る。,2つ,15分,1つ,ひとかけ,2
その小説は実際の出来事に----。,依存している,失われている,基づいている,親しい,3
「私はバイオリンが全然----。もうやめるべきだよ」「今諦めないで。もっと上手くなるよ。」,得意じゃない,怖くない,不足していない,満足している,1
彼女はその研修プログラムを無事----。,再利用した,区別した,修了した,飾った,3
私は電車にほんの数秒差で乗り遅れたので、会議に20分----。,失った,怖がった,不足した,遅刻した,4
寮には----学生が住んでいる。,いっぱいの,何百もの,かなり少しの,大部分の,2
重要なのは自分の----から学ぶことだ。,正しいこと,個人的なこと,誤り,失敗,4
そのような雑誌は子どもたちに大きな----を与える。,想像力,影響,努力,精神的なもの,2
帰ってもいいですか。ひどい----がするんです。,精神的な不調,出血,治療,頭痛,4
